base_smiles,catalyst_smiles,yield
CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,[CH3-].CC1(C2=C(C(=CC=C2)[PH+](C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C.C1=CC=C([C-]=C1)C2=CC=CC=C2[NH-].[Pd],0
CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,[CH3-].CC1(C2=C(C(=CC=C2)[PH+](C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C.C1=CC=C([C-]=C1)C2=CC=CC=C2[NH-].[Pd],4.753393
C12=NCCCN1CCCCC2,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)C=CC=C2,0
CN1CCCN2C1=NCCC2,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)C=CC=C2,0
CC(C)(/N=C(N(C)C)/N(C)C)C,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)C=CC=C2,0
CCN(P1(N(C)CCCN1C)=NC(C)(C)C)CC,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)C=CC=C2,0.999264
CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)C=CC=C2,0.870019
CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)C=CC=C2,8.413084
C12=NCCCN1CCCCC2,C[C@@]12CC3(C)OC(O2)(C)C[C@](P1([Pd+2](OS(C)(=O)=O)C4=C(C5=C(C=CC=C5)[NH-])C=CC=C4)C6=CC=CC=C6)(C)O3,0
CN1CCCN2C1=NCCC2,C[C@@]12CC3(C)OC(O2)(C)C[C@](P1([Pd+2](OS(C)(=O)=O)C4=C(C5=C(C=CC=C5)[NH-])C=CC=C4)C6=CC=CC=C6)(C)O3,0
CC(C)(/N=C(N(C)C)/N(C)C)C,C[C@@]12CC3(C)OC(O2)(C)C[C@](P1([Pd+2](OS(C)(=O)=O)C4=C(C5=C(C=CC=C5)[NH-])C=CC=C4)C6=CC=CC=C6)(C)O3,0
CCN(P1(N(C)CCCN1C)=NC(C)(C)C)CC,C[C@@]12CC3(C)OC(O2)(C)C[C@](P1([Pd+2](OS(C)(=O)=O)C4=C(C5=C(C=CC=C5)[NH-])C=CC=C4)C6=CC=CC=C6)(C)O3,0
CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,C[C@@]12CC3(C)OC(O2)(C)C[C@](P1([Pd+2](OS(C)(=O)=O)C4=C(C5=C(C=CC=C5)[NH-])C=CC=C4)C6=CC=CC=C6)(C)O3,0
CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,C[C@@]12CC3(C)OC(O2)(C)C[C@](P1([Pd+2](OS(C)(=O)=O)C4=C(C5=C(C=CC=C5)[NH-])C=CC=C4)C6=CC=CC=C6)(C)O3,0
C12=NCCCN1CCCCC2,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Pd],0
CN1CCCN2C1=NCCC2,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Pd],0
CC(C)(/N=C(N(C)C)/N(C)C)C,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Pd],0
CCN(P1(N(C)CCCN1C)=NC(C)(C)C)CC,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Pd],0
CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Pd],0.821632
CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Pd],1.867534
C12=NCCCN1CCCCC2,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.CS(=O)(=O)[O-].C1=CC=C(C=C1)C2=CC=CC=C2N.[Pd],0
CN1CCCN2C1=NCCC2,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.CS(=O)(=O)[O-].C1=CC=C(C=C1)C2=CC=CC=C2N.[Pd],0
CC(C)(/N=C(N(C)C)/N(C)C)C,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.CS(=O)(=O)[O-].C1=CC=C(C=C1)C2=CC=CC=C2N.[Pd],0
CCN(P1(N(C)CCCN1C)=NC(C)(C)C)CC,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.CS(=O)(=O)[O-].C1=CC=C(C=C1)C2=CC=CC=C2N.[Pd],0.891724
CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.CS(=O)(=O)[O-].C1=CC=C(C=C1)C2=CC=CC=C2N.[Pd],2.754602
CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.CS(=O)(=O)[O-].C1=CC=C(C=C1)C2=CC=CC=C2N.[Pd],24.30738
C12=NCCCN1CCCCC2,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C3CCCCC3)(C4CCCCC4)C5=C(C6=C(OC(C)C)C=CC=C6OC(C)C)C=CC=C5)C=CC=C2.[Cl-],0
CN1CCCN2C1=NCCC2,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C3CCCCC3)(C4CCCCC4)C5=C(C6=C(OC(C)C)C=CC=C6OC(C)C)C=CC=C5)C=CC=C2.[Cl-],0
CC(C)(/N=C(N(C)C)/N(C)C)C,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C3CCCCC3)(C4CCCCC4)C5=C(C6=C(OC(C)C)C=CC=C6OC(C)C)C=CC=C5)C=CC=C2.[Cl-],0
CCN(P1(N(C)CCCN1C)=NC(C)(C)C)CC,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C3CCCCC3)(C4CCCCC4)C5=C(C6=C(OC(C)C)C=CC=C6OC(C)C)C=CC=C5)C=CC=C2.[Cl-],1.058214
CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C3CCCCC3)(C4CCCCC4)C5=C(C6=C(OC(C)C)C=CC=C6OC(C)C)C=CC=C5)C=CC=C2.[Cl-],6.860761
CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,[NH-]C(C=CC=C1)=C1C2=C([Pd+2]P(C3CCCCC3)(C4CCCCC4)C5=C(C6=C(OC(C)C)C=CC=C6OC(C)C)C=CC=C5)C=CC=C2.[Cl-],10.15145
C12=NCCCN1CCCCC2,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Fe].[Pd],1.643559
CN1CCCN2C1=NCCC2,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Fe].[Pd],0
CC(C)(/N=C(N(C)C)/N(C)C)C,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Fe].[Pd],0
CCN(P1(N(C)CCCN1C)=NC(C)(C)C)CC,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Fe].[Pd],0
CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Fe].[Pd],0
CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Fe].[Pd],78.60419
C12=NCCCN1CCCCC2,CC([C]1[CH][CH][CH][C]1P(C2CCCCC2)C3CCCCC3)P(C(C)(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[CH]1[CH][CH][CH][CH]1.[Fe].[Pd],0
CN1CCCN2C1=NCCC2,CC([C]1[CH][CH][CH][C]1P(C2CCCCC2)C3CCCCC3)P(C(C)(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[CH]1[CH][CH][CH][CH]1.[Fe].[Pd],0
CC(C)(/N=C(N(C)C)/N(C)C)C,CC([C]1[CH][CH][CH][C]1P(C2CCCCC2)C3CCCCC3)P(C(C)(C)C)C(C)(C)C.CS(=O)(=O)O.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[CH]1[CH][CH][CH][CH]1.[Fe].[Pd],0
